Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Luís Mateus;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-035;35 / 50 / 100 / 150 / 300 MB
Rua Jardim Tamoio - até 738/739;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-010;35 / 50 / 100 / 150 / 300 MB
Rua Jardim Tamoio - de 740/741 ao fim;Conjunto Residencial José Bonifácio;São Paulo;Guaianazes;FTTH;08253-445;35 / 50 / 100 / 150 / 300 MB
Rua Alice Preston;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-060;35 / 50 / 100 / 150 / 300 MB
Rua Constantino Fernandes;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-030;35 / 50 / 100 / 150 / 300 MB
Rua Cristóvão Salamanca;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08253-700;35 / 50 / 100 / 150 / 300 MB
Rua Domingos Rubino;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08253-710;35 / 50 / 100 / 150 / 300 MB
Rua Matias Quevedo;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-090;35 / 50 / 100 / 150 / 300 MB
Rua João Ruel;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-110;35 / 50 / 100 / 150 / 300 MB
Rua Dario Pozzo;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-100;35 / 50 / 100 / 150 / 300 MB
Rua Amor de Índio;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-020;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Capuzzi;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-120;35 / 50 / 100 / 150 / 300 MB
Rua Casa no Campo;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-050;35 / 50 / 100 / 150 / 300 MB
Rua Arno Nadel;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-160;35 / 50 / 100 / 150 / 300 MB
Rua Franz Benda;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-150;35 / 50 / 100 / 150 / 300 MB
Rua Francesco Calegari;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-170;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Passy;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-190;35 / 50 / 100 / 150 / 300 MB
Rua Bob Marley ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-200;35 / 50 / 100 / 150 / 300 MB
Rua Cole Poter;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-180;35 / 50 / 100 / 150 / 300 MB
Rua Frei Antônio Faggiano;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-140;35 / 50 / 100 / 150 / 300 MB
Rua Alberto Fink;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-040;35 / 50 / 100 / 150 / 300 MB
Rua Agostinho Alegro ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-050;35 / 50 / 100 / 150 / 300 MB
Rua Águas de Março;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-010;35 / 50 / 100 / 150 / 300 MB
Rua Fascinação;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-080;35 / 50 / 100 / 150 / 300 MB
Rua Nobreza;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-120;35 / 50 / 100 / 150 / 300 MB
Rua Neve da Bahia;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-110;35 / 50 / 100 / 150 / 300 MB
Rua Sal da Terra;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-140;35 / 50 / 100 / 150 / 300 MB
Rua Verbos do Amor;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-170;35 / 50 / 100 / 150 / 300 MB
Rua Irmão Deodoro;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-410;35 / 50 / 100 / 150 / 300 MB
Rua Comandante Carlos Ruhl;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-130;35 / 50 / 100 / 150 / 300 MB
Rua Benedicto Augusto dos Anjos;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-250;35 / 50 / 100 / 150 / 300 MB
Rua Acácio Marchese;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-390;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Orlando de Paiva Martins ;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-330;35 / 50 / 100 / 150 / 300 MB
Travessa Júbilo;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-340;35 / 50 / 100 / 150 / 300 MB
Travessa Seringais;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-010;35 / 50 / 100 / 150 / 300 MB
Rua Luís Carlos Prado;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-425;35 / 50 / 100 / 150 / 300 MB
Rua João dos Réis;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-150;35 / 50 / 100 / 150 / 300 MB
Rua Gaspar de Louveira;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-170;35 / 50 / 100 / 150 / 300 MB
Rua Alpinópolis;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-230;35 / 50 / 100 / 150 / 300 MB
Rua Mondaí;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-220;35 / 50 / 100 / 150 / 300 MB
Rua Amélia Duarte;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-420;35 / 50 / 100 / 150 / 300 MB
Rua Santa Anástacia;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-550;35 / 50 / 100 / 150 / 300 MB
Rua Ipatinga ;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-380;35 / 50 / 100 / 150 / 300 MB
Rua Otávio Peppi;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-460;35 / 50 / 100 / 150 / 300 MB
Rua de Flor em Flor;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-090;35 / 50 / 100 / 150 / 300 MB
Rua Aquarela do Brasil;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-030;35 / 50 / 100 / 150 / 300 MB
Rua Sol de Primavera;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-150;35 / 50 / 100 / 150 / 300 MB
Rua Teia de Renda;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-160;35 / 50 / 100 / 150 / 300 MB
Rua Procissão;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-130;35 / 50 / 100 / 150 / 300 MB
Rua Coração de Maçã;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08474-230;35 / 50 / 100 / 150 / 300 MB
Rua Coração Brasileiro;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-060;35 / 50 / 100 / 150 / 300 MB
Rua Ana Maria Sirani;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-400;35 / 50 / 100 / 150 / 300 MB
Rua Angélica Razzi;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-380;35 / 50 / 100 / 150 / 300 MB
Rua Caetano Bonatti;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-240;35 / 50 / 100 / 150 / 300 MB
Rua Gino Romiti;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-440;35 / 50 / 100 / 150 / 300 MB
Rua Leopoldo Bara;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-430;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Albani;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-740;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Agrote;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-510;35 / 50 / 100 / 150 / 300 MB
Rua Arnaldo Simon;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-550;35 / 50 / 100 / 150 / 300 MB
Rua Aluísio Balmer;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-560;35 / 50 / 100 / 150 / 300 MB
Rua Afonso Saladin;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-570;35 / 50 / 100 / 150 / 300 MB
