Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Luta Feminina;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-400;35 / 50 / 100 / 150 / 300 MB
Rua Sylvio de Lima Gonçalves Pereira;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-410;35 / 50 / 100 / 150 / 300 MB
Rua da Construção;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-320;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Gilberto Porfírio-Agepê;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-330;35 / 50 / 100 / 150 / 300 MB
Rua Floresta Amazônica;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-340;35 / 50 / 100 / 150 / 300 MB
Rua Célia Helena;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-210;35 / 50 / 100 / 150 / 300 MB
Rua Geraldo Vietri;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-220;35 / 50 / 100 / 150 / 300 MB
Rua Eva Peron;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-230;35 / 50 / 100 / 150 / 300 MB
Rua Feitio de Oração;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-240;35 / 50 / 100 / 150 / 300 MB
Rua Coração Sertanejo;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-550;35 / 50 / 100 / 150 / 300 MB
Rua Paulo Gracindo;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-520;35 / 50 / 100 / 150 / 300 MB
Rua Cartola;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-360;35 / 50 / 100 / 150 / 300 MB
Rua Chuvas de Verão;Conjunto Habitacional Fazenda do Carmo;São Paulo;Guaianases;FTTH;08421-570;35 / 50 / 100 / 150 / 300 MB
Rua Joaquim de Sá;Jardim Áurea;São Paulo;Guaianases;FTTH;08421-108;35 / 50 / 100 / 150 / 300 MB
Rua João Batista Besardo;Jardim Áurea;São Paulo;Guaianases;FTTH;08421-106;35 / 50 / 100 / 150 / 300 MB
Rua Henrique Adamus;Jardim Áurea;São Paulo;Guaianases;FTTH;08421-107;35 / 50 / 100 / 150 / 300 MB
Rua Gabriel Abreu;Vila Cosmopolita;São Paulo;Guaianases;FTTH;08421-115;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Cardoso Júnior;Jardim Áurea;São Paulo;Guaianases;FTTH;08421-105;35 / 50 / 100 / 150 / 300 MB
Travessa Sete Marias;Jardim da Conquista (Zona Leste);São Paulo;Mauá;FTTH;08344-160;35 / 50 / 100 / 150 / 300 MB
Rua Centralina;Vila Princesa Isabel;São Paulo;Guaianases;FTTH;08410-100;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Meira Pena;Vila Lourdes;São Paulo;Guaianases;FTTH;08410-080;35 / 50 / 100 / 150 / 300 MB
Rua Agapito Maluf;Vila Princesa Isabel;São Paulo;Guaianases;FTTH;08410-131;35 / 50 / 100 / 150 / 300 MB
Rua Professor Francisco Pinheiro;Vila Princesa Isabel;São Paulo;Guaianases;FTTH;08410-020;35 / 50 / 100 / 150 / 300 MB
Rua Buerarema;Vila Lourdes;São Paulo;Guaianases;FTTH;08410-110;35 / 50 / 100 / 150 / 300 MB
Travessa Maria do Mar;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-550;35 / 50 / 100 / 150 / 300 MB
Travessa Viscome;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-565;35 / 50 / 100 / 150 / 300 MB
Travessa Rosa de Buquê;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-660;35 / 50 / 100 / 150 / 300 MB
Travessa Rio Arinos;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-630;35 / 50 / 100 / 150 / 300 MB
Travessa Rosa do Prado;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-670;35 / 50 / 100 / 150 / 300 MB
Travessa Melancolia;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-570;35 / 50 / 100 / 150 / 300 MB
Travessa Gioconda;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-450;35 / 50 / 100 / 150 / 300 MB
Travessa da Idade Madura;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-480;35 / 50 / 100 / 150 / 300 MB
Rua Folclore Infantil;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-450;35 / 50 / 100 / 150 / 300 MB
Rua Carlo de Falco;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-440;35 / 50 / 100 / 150 / 300 MB
Rua José Portillo;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-510;35 / 50 / 100 / 150 / 300 MB
Rua Júlio Benesi;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-460;35 / 50 / 100 / 150 / 300 MB
Rua Fernão de Sá;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-425;35 / 50 / 100 / 150 / 300 MB
Avenida Domingos de Mendonça;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-420;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Barbosa;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-400;35 / 50 / 100 / 150 / 300 MB
Rua Isidoro de Sá;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-410;35 / 50 / 100 / 150 / 300 MB
Rua Daniel Fox;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-470;35 / 50 / 100 / 150 / 300 MB
Avenida Caboré;Jardim Maria Lídia;São Paulo;Guaianases;FTTH;08370-430;35 / 50 / 100 / 150 / 300 MB
Rua Margarita Costa;Jardim Jordão;São Paulo;Guaianases;FTTH;08370-575;35 / 50 / 100 / 150 / 300 MB
Rua Tenora Catalã;Jardim Jordão;São Paulo;Guaianases;FTTH;08370-560;35 / 50 / 100 / 150 / 300 MB
Rua dos Eucalíptos;Recanto Verde do Sol;São Paulo;Guaianases;FTTH;08382-440;35 / 50 / 100 / 150 / 300 MB
Rua Nova Esperança;Vila Gil;São Paulo;Guaianases;FTTH;08370-546;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Canal;Vila Gil;São Paulo;Guaianases;FTTH;08370-550;35 / 50 / 100 / 150 / 300 MB
Rua Ione Pinelli;Vila Gil;São Paulo;Guaianases;FTTH;08370-545;35 / 50 / 100 / 150 / 300 MB
Rua Iracema;Vila Gil;São Paulo;Guaianases;FTTH;08370-540;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Louro;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-370;35 / 50 / 100 / 150 / 300 MB
Rua Dias Falcão;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-360;35 / 50 / 100 / 150 / 300 MB
Rua Ajuá;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-380;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Bastos;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-350;35 / 50 / 100 / 150 / 300 MB
Rua Horácio Borgioni;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-365;35 / 50 / 100 / 150 / 300 MB
Rua Alessandro Melani;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-345;35 / 50 / 100 / 150 / 300 MB
Rua Juliano Algo;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-340;35 / 50 / 100 / 150 / 300 MB
Rua Virgínia Germano;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-330;35 / 50 / 100 / 150 / 300 MB
Rua José Carlos Peixoto Spinardi;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-250;35 / 50 / 100 / 150 / 300 MB
Rua Alfredo Munhoz;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-320;35 / 50 / 100 / 150 / 300 MB
Avenida João da Costa Viana;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-305;35 / 50 / 100 / 150 / 300 MB
Rua Lineu Novais;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-310;35 / 50 / 100 / 150 / 300 MB
Rua João Antônio Xavier;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-300;35 / 50 / 100 / 150 / 300 MB
Rua Georgina Mongruel;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-390;35 / 50 / 100 / 150 / 300 MB
Rua Ângelo Sampaio;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-260;35 / 50 / 100 / 150 / 300 MB
Rua Lauro Loyola;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-270;35 / 50 / 100 / 150 / 300 MB
Rua José Gonçalves Lobo;Jardim São João (São Rafael);São Paulo;Guaianases;FTTH;08370-280;35 / 50 / 100 / 150 / 300 MB
Rua Guichi Shigueta;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;08260-270;35 / 50 / 100 / 150 / 300 MB
Rua José Cláudio;Côlonia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Chamel;Côlonia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Samara;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Beira Rio;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Travessa Santo Antônio;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Santa Maria;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua São João;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Pernambuco;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Maranhão;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Paulina;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Lídia Maria;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua dos Brasileiros;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Luiz Fernandes;Colônia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Saturnino Pereira;Vila Santa Cruz;São Paulo;Guaianases;FTTH;08411-000;35 / 50 / 100 / 150 / 300 MB
Rua Saturnino Pereira;Vila Santa Cruz;São Paulo;Guaianases;FTTH;08411-000;35 / 50 / 100 / 150 / 300 MB
Travessa Projetada Sessenta e Três;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-265;35 / 50 / 100 / 150 / 300 MB
Rua Vilza;Jardim Iguatemi;São Paulo;Guaianazes;FTTH;08373-160;35 / 50 / 100 / 150 / 300 MB
Viela 25;Parque São Rafael;São Paulo;Mauá;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Praça Frei Tito;Parque São Rafael;São Paulo;Mauá;FTTH;08320-340;35 / 50 / 100 / 150 / 300 MB
Praça da Costinha;Parque São Rafael;São Paulo;Mauá;FTTH;08320-165;35 / 50 / 100 / 150 / 300 MB
Viela 13;Parque São Rafael;São Paulo;Mauá;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Correia Bueno;Parque São Rafael;São Paulo;Mauá;FTTH;08320-490;35 / 50 / 100 / 150 / 300 MB
Rua Anecy Rocha;Jardim das Rosas (Iguatemi);São Paulo;Guaianases;FTTH;08372-209;35 / 50 / 100 / 150 / 300 MB
Rua Anecy Rocha;Jardim das Rosas (Iguatemi);São Paulo;Guaianases;FTTH;08373-105;35 / 50 / 100 / 150 / 300 MB
Rua Serra da Borborema;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-110;35 / 50 / 100 / 150 / 300 MB
Rua Serra das Missões;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-120;35 / 50 / 100 / 150 / 300 MB
Rua Serra da Cachoeira;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-130;35 / 50 / 100 / 150 / 300 MB
Rua Serra dos Milagres;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-135;35 / 50 / 100 / 150 / 300 MB
Rua Vanadia;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-150;35 / 50 / 100 / 150 / 300 MB
Rua Valda;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-170;35 / 50 / 100 / 150 / 300 MB
Rua Serra Vermelha;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-195;35 / 50 / 100 / 150 / 300 MB
Rua Serra do Café;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-200;35 / 50 / 100 / 150 / 300 MB
Rua Valdete;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-210;35 / 50 / 100 / 150 / 300 MB
Rua Serra do Evangelista;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-220;35 / 50 / 100 / 150 / 300 MB
Rua Valdirene;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-230;35 / 50 / 100 / 150 / 300 MB
Rua Gaivota;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-240;35 / 50 / 100 / 150 / 300 MB
Rua Curió;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-250;35 / 50 / 100 / 150 / 300 MB
Rua Águia;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-260;35 / 50 / 100 / 150 / 300 MB
Rua Uirapuru;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-270;35 / 50 / 100 / 150 / 300 MB
Rua Viviane;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-280;35 / 50 / 100 / 150 / 300 MB
Travessa Serra das Pinturas;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-295;35 / 50 / 100 / 150 / 300 MB
Rua Vânia;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-310;35 / 50 / 100 / 150 / 300 MB
Rua Saracura;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-330;35 / 50 / 100 / 150 / 300 MB
Rua Garça;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-340;35 / 50 / 100 / 150 / 300 MB
Rua Pirâmide dos Piques;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianases;FTTH;08381-020;35 / 50 / 100 / 150 / 300 MB
Rua Pardal;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua João  de Barro;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Galo da Serra;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Araguaia;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Cisne;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Lirio das Pedras;Jardim Pedra Branca;São Paulo;Guaianazes;FTTH;08490-860;35 / 50 / 100 / 150 / 300 MB
Rua Alberto Pezuol Neto (Jardim Leblon);Taba Marajoara;São Paulo;Suzano;FTTH;08655-374;35 / 50 / 100 / 150 / 300 MB
Rua Vânia ;Jardim Nova Vitória I;São Paulo;Guaianases;FTTH;08373-310;35 / 50 / 100 / 150 / 300 MB
Rua Serra do Oratório ;Jardim Nova Vitória I ;São Paulo;Guaianases;FTTH;08373-315;35 / 50 / 100 / 150 / 300 MB
Rua Serra da Boa Visão ;Jardim Nova Vitória I ;São Paulo;Guaianases;FTTH;08373-670;35 / 50 / 100 / 150 / 300 MB
Rua Violeta ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-600;35 / 50 / 100 / 150 / 300 MB
Rua Valentina ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-660;35 / 50 / 100 / 150 / 300 MB
Rua Vanessa ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-680;35 / 50 / 100 / 150 / 300 MB
Rua Valdelice ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-700;35 / 50 / 100 / 150 / 300 MB
Rua Serra do Boqueirão ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-715;35 / 50 / 100 / 150 / 300 MB
Rua Serra da Conceição ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-690;35 / 50 / 100 / 150 / 300 MB
Rua Tucano ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-720;35 / 50 / 100 / 150 / 300 MB
Rua Tico-tico;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-730;35 / 50 / 100 / 150 / 300 MB
Rua Papagaio ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-740;35 / 50 / 100 / 150 / 300 MB
Rua Andorinha;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-750;35 / 50 / 100 / 150 / 300 MB
Rua Periquito ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-760;35 / 50 / 100 / 150 / 300 MB
Rua Canário;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-650;35 / 50 / 100 / 150 / 300 MB
Rua Viena;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-710;35 / 50 / 100 / 150 / 300 MB
Rua Sabiá;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-770;35 / 50 / 100 / 150 / 300 MB
Rua Bem-Te-Vi ;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08373-780;35 / 50 / 100 / 150 / 300 MB
Rua 13;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua 13;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua do Ensino;Jardim Nova Vitória II;São Paulo;Guaianases;FTTH;08381-680;35 / 50 / 100 / 150 / 300 MB
Rua Artur Pereira ;Recanto Verde do Sol;São Paulo;Guaianases;FTTH;08382-345;35 / 50 / 100 / 150 / 300 MB
Rua Musa Cabocla ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-730;35 / 50 / 100 / 150 / 300 MB
Rua Musa Cabocla ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-730;35 / 50 / 100 / 150 / 300 MB
Rua dos Congirates ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-670;35 / 50 / 100 / 150 / 300 MB
Rua Irma Leonie Duquet ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-720;35 / 50 / 100 / 150 / 300 MB
Rua do Canto;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-580;35 / 50 / 100 / 150 / 300 MB
Rua Vista Alegre;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Pinheiros;Recanto Verde do Sol;São Paulo;Guaianases;FTTH;08382-430;35 / 50 / 100 / 150 / 300 MB
Rua Irmã Adelaide;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-620;35 / 50 / 100 / 150 / 300 MB
Rua Evocação das Montanhas;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-690;35 / 50 / 100 / 150 / 300 MB
Rua Padre Jósimo Morais Tavares ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-710;35 / 50 / 100 / 150 / 300 MB
Rua Aurora de Esperança ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-640;35 / 50 / 100 / 150 / 300 MB
Rua Alexandre Vanucchi Leme ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-630;35 / 50 / 100 / 150 / 300 MB
Rua Osmar Lúcio de Alencar ;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-740;35 / 50 / 100 / 150 / 300 MB
Jasmim de Caiena;Sitio da Barra;São Paulo;Guaianazes;FTTH;08372-304;35 / 50 / 100 / 150 / 300 MB
Rua Lírio da Índia;Sitio da Barra;São Paulo;Guaianazes;FTTH;08372-306;35 / 50 / 100 / 150 / 300 MB
Rua Cravo do Campo;Sitio da Barra;São Paulo;Guaianazes;FTTH;08372-302;35 / 50 / 100 / 150 / 300 MB
Rua Alamanda Roxa;Sitio da Barra;São Paulo;Guaianazes;FTTH;08372-300;35 / 50 / 100 / 150 / 300 MB
Avenida Bento Guelfi 1185 até 3100;Jardim da Laranjeira (Zona Leste) 	;São Paulo;Guaianases;FTTH;08381-001;35 / 50 / 100 / 150 / 300 MB
Rua Eucalipto;Vila Gil;São Paulo;Guaianases;FTTH;08370-547;35 / 50 / 100 / 150 / 300 MB
Rua Lírio da Índia;Sítio da Barra;São Paulo;Guaianases;FTTH;08372-306;35 / 50 / 100 / 150 / 300 MB
Rua Alamanda Roxa;Sítio da Barra;São Paulo;Guaianases;FTTH;08372-300;35 / 50 / 100 / 150 / 300 MB
Rua Artur Pereira;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;08381-685;35 / 50 / 100 / 150 / 300 MB
Rua Ribeirão Preto;Recanto Alegre;São Paulo;Guaianases;FTTH;08383-230;35 / 50 / 100 / 150 / 300 MB
Rua das Flores;Terceira Divisão;São Paulo;Guaianases;FTTH;08383-005;35 / 50 / 100 / 150 / 300 MB
Rua Rosa de Saron;Terceira Divisão;São Paulo;Guaianases;FTTH;08383-008;35 / 50 / 100 / 150 / 300 MB
Rua Mario Minami;Jardim da Laranjeira (Zona Leste) ;São Paulo;Guaianases;FTTH;08381-160;35 / 50 / 100 / 150 / 300 MB
Rua Takao Minami;Jardim da Laranjeira (Zona Leste) ;São Paulo;Guaianases;FTTH;08381-155;35 / 50 / 100 / 150 / 300 MB
Rua Pau-Brasil;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Aroeira;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Andiroba;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Pinheiros;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Jequiti;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Ipé;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Jaboticabeira;Jardim Alto Alegre (São Rafael);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Travessa João Vitor;Cidade Tiradentes;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Travessa São João;Recanto Alegre;São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Santo Antônio;Côlonia (Zona Leste);São Paulo;Guaianases;FTTH;00000-000;35 / 50 / 100 / 150 / 300 MB
Rua Jasmim de Caiena;Sítio da Barra;São Paulo;Guaianases;FTTH;08372-304;35 / 50 / 100 / 150 / 300 MB
Rua José Juarez Antunes;Jardim das Rosas (Iguatemi);São Paulo;Guaianazes;FTTH;08372-220;35 / 50 / 100 / 150 / 300 MB
Rua Augusto Mendes Pinto;Jardim das Rosas (Iguatemi);São Paulo;Guaianazes;FTTH;08372-200;35 / 50 / 100 / 150 / 300 MB
Rua Henrique Decoin;Jardim das Rosas (Iguatemi);São Paulo;Guaianazes;FTTH;08372-202;35 / 50 / 100 / 150 / 300 MB
Rua João Ruiz de Sá;Jardim das Rosas (Iguatemi);São Paulo;Guaianazes;FTTH;08372-208;35 / 50 / 100 / 150 / 300 MB
Rua João Máximo de Carvalho;Jardim Iguatemi;São Paulo;Guaianazes;FTTH;08380-290;35 / 50 / 100 / 150 / 300 MB
Rua Francesco Lambardi;Jardim Iguatemi;São Paulo;Guaianazes;FTTH;08380-295;35 / 50 / 100 / 150 / 300 MB
Rua Alfonso Fernandes;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-010;35 / 50 / 100 / 150 / 300 MB
Rua Alcides Perazolla;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-000;35 / 50 / 100 / 150 / 300 MB
Rua João Batista Bono;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-080;35 / 50 / 100 / 150 / 300 MB
Rua Celso Betim;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-020;35 / 50 / 100 / 150 / 300 MB
Rua Gilda Azevedo;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-070;35 / 50 / 100 / 150 / 300 MB
Rua Bernardo Antunes Rolim;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-010;35 / 50 / 100 / 150 / 300 MB
Rua Duarte Gomes,;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-050;35 / 50 / 100 / 150 / 300 MB
Rua Nina Carini;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-110;35 / 50 / 100 / 150 / 300 MB
Rua Felipe Bonani;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-040;35 / 50 / 100 / 150 / 300 MB
Rua Emanuel Barbela;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-030;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Romero;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08381-060;35 / 50 / 100 / 150 / 300 MB
Rua João Alves de Sena;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-095;35 / 50 / 100 / 150 / 300 MB
Rua Lillian Roth;Jd Bandeirantes;São Paulo;Guaianazes;FTTH;08372-090;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Zelada;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-070;35 / 50 / 100 / 150 / 300 MB
Rua Mendes Freire,;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-100;35 / 50 / 100 / 150 / 300 MB
Rua Arraial do Tijuco;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-080;35 / 50 / 100 / 150 / 300 MB
Rua Luisa Sarazim;Jd da Laranjeira;São Paulo;Guaianazes;FTTH;08372-100;35 / 50 / 100 / 150 / 300 MB
Rua Ilha de Abrigo,;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-130;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Nunes;Jardim da Laranjeira (Zona Leste);São Paulo;Guaianazes;FTTH;08381-120;35 / 50 / 100 / 150 / 300 MB
